CONTINENTE DE RESIDENCIA ;MOTIVO DEL VIAJE (AGRUPADO);LLEGADAS;PERMANENCIA PROMEDIO (NOCHES);GASTO PROM. DIARIO INDIVIDUAL (US$);GASTO TOTAL INDIVIDUAL (US$);INGRESO DE DIVISAS (US$)
AMÉRICA;VACACIONES;778.061;6,8;76,8;524,6;408.203.554
AMÉRICA;VISITA FAMILIARES / AMIGOS;328.874;14,5;19,4;280,9;92.380.787
AMÉRICA;OTROS MOTIVOS;196.299;10,1;44,0;444,4;87.225.857
AMÉRICA;NEGOCIOS;169.192;8,4;111,7;938,6;158.804.313
AMÉRICA;VACACIONES;489.572;4,0;97,5;386,3;189.114.158
AMÉRICA;VISITA FAMILIARES / AMIGOS;133.102;7,1;32,9;232,6;30.957.220
AMÉRICA;OTROS MOTIVOS;152.656;2,9;112,5;330,4;50.433.716
AMÉRICA;NEGOCIOS;51.118;7,2;109,9;787,0;40.232.051
AMÉRICA;VACACIONES;40.948;9,3;32,4;299,7;12.271.015
AMÉRICA;VISITA FAMILIARES / AMIGOS;63.122;11,4;13,0;148,6;9.376.895
AMÉRICA;OTROS MOTIVOS;14.708;11,3;46,2;523,0;7.691.657
AMÉRICA;NEGOCIOS;13.931;3,9;119,2;465,0;6.478.067
AMÉRICA;VACACIONES;29.038;12,0;28,2;337,6;9.803.690
AMÉRICA;VISITA FAMILIARES / AMIGOS;47.990;18,3;9,6;175,4;8.417.741
AMÉRICA;OTROS MOTIVOS;5.943;21,8;19,8;432,2;2.569.017
AMÉRICA;NEGOCIOS;13.053;5,9;96,1;564,4;7.367.280
AMÉRICA;VACACIONES;74.768;7,8;95,3;747,2;55.867.431
AMÉRICA;VISITA FAMILIARES / AMIGOS;7.755;20,9;23,8;497,0;3.854.371
AMÉRICA;OTROS MOTIVOS;1.971;11,9;41,4;492,1;969.710
AMÉRICA;NEGOCIOS;13.772;7,9;124,5;983,9;13.550.284
AMÉRICA;VACACIONES;45.889;13,3;80,7;1.068,9;49.051.296
AMÉRICA;VISITA FAMILIARES / AMIGOS;16.707;19,5;39,5;771,6;12.892.183
AMÉRICA;OTROS MOTIVOS;3.207;39,5;25,6;1.009,6;3.237.484
AMÉRICA;NEGOCIOS;10.734;11,8;112,4;1.331,9;14.297.232
AMÉRICA;VACACIONES;5.684;10,9;97,3;1.055,3;5.998.923
AMÉRICA;VISITA FAMILIARES / AMIGOS;2.788;23,7;24,0;570,8;1.591.517
AMÉRICA;OTROS MOTIVOS;351;30,5;32,4;990,6;347.442
AMÉRICA;NEGOCIOS;4.735;15,8;92,0;1.455,2;6.891.071
AMÉRICA;VACACIONES;11.804;18,9;56,4;1.068,8;12.616.115
AMÉRICA;VISITA FAMILIARES / AMIGOS;5.378;31,9;25,4;809,5;4.353.853
AMÉRICA;OTROS MOTIVOS;397;6,2;103,1;634,7;252.273
AMÉRICA;NEGOCIOS;1.538;13,7;109,2;1.500,3;2.307.880
AMÉRICA;VACACIONES;13.348;27,0;23,8;643,1;8.584.676
AMÉRICA;VISITA FAMILIARES / AMIGOS;11.168;39,2;12,4;486,3;5.430.784
AMÉRICA;OTROS MOTIVOS;1.517;46,2;17,5;807,9;1.226.025
AMÉRICA;NEGOCIOS;5.357;15,5;65,1;1.011,5;5.418.617
AMÉRICA;VACACIONES;33.146;17,9;35,1;629,5;20.864.486
AMÉRICA;VISITA FAMILIARES / AMIGOS;23.733;37,2;16,6;618,8;14.685.977
AMÉRICA;OTROS MOTIVOS;3.551;49,9;18,1;904,6;3.211.860
AMÉRICA;NEGOCIOS;13.961;19,0;68,4;1.300,9;18.161.529
EUROPA;VACACIONES;111.609;20,7;54,2;1.120,1;125.009.202
EUROPA;VISITA FAMILIARES / AMIGOS;33.458;32,3;28,1;907,7;30.369.308
EUROPA;OTROS MOTIVOS;5.303;47,9;21,5;1.028,8;5.456.293
EUROPA;NEGOCIOS;18.657;15,8;86,7;1.371,0;25.578.813
EUROPA;VACACIONES;22.352;21,3;50,9;1.084,9;24.250.436
EUROPA;VISITA FAMILIARES / AMIGOS;5.059;26,7;29,2;777,9;3.935.605
EUROPA;OTROS MOTIVOS;1.149;62,6;18,9;1.183,9;1.360.271
EUROPA;NEGOCIOS;2.279;18,0;68,4;1.229,3;2.801.715
EUROPA;VACACIONES;10.872;27,7;42,4;1.173,8;12.761.414
EUROPA;VISITA FAMILIARES / AMIGOS;6.041;34,0;29,9;1.017,0;6.143.521
EUROPA;OTROS MOTIVOS;837;41,8;21,4;894,6;749.050
EUROPA;NEGOCIOS;5.390;16,4;93,2;1.529,2;8.242.449
EUROPA;VACACIONES;22.090;22,2;47,2;1.050,2;23.197.623
EUROPA;VISITA FAMILIARES / AMIGOS;4.540;30,4;28,5;866,9;3.935.389
EUROPA;OTROS MOTIVOS;663;81,6;10,3;841,0;557.635
EUROPA;NEGOCIOS;1.818;17,9;72,7;1.301,5;2.365.761
EUROPA;VACACIONES;14.794;12,9;110,4;1.422,1;21.038.508
EUROPA;VISITA FAMILIARES / AMIGOS;2.884;17,8;45,5;809,3;2.334.409
EUROPA;OTROS MOTIVOS;1.511;22,8;23,1;525,0;793.353
EUROPA;NEGOCIOS;2.850;10,1;94,1;949,3;2.705.591
EUROPA;VACACIONES;41.501;20,4;51,7;1.054,5;43.761.220
EUROPA;VISITA FAMILIARES / AMIGOS;14.934;36,9;25,5;938,8;14.020.384
EUROPA;OTROS MOTIVOS;1.143;51,2;34,1;1.746,6;1.995.984
EUROPA;NEGOCIOS;6.321;16,5;90,7;1.497,2;9.463.297
ASIA Y OCEANÍA;VACACIONES;13.533;14,7;76,3;1.123,5;15.205.091
ASIA Y OCEANÍA;VISITA FAMILIARES / AMIGOS;2.741;35,2;36,0;1.265,6;3.469.241
ASIA Y OCEANÍA;OTROS MOTIVOS;910;14,0;53,5;751,5;683.911
ASIA Y OCEANÍA;NEGOCIOS;429;15,8;91,6;1.443,0;618.745
ASIA Y OCEANÍA;VACACIONES;4.280;12,7;105,0;1.336,0;5.717.512
ASIA Y OCEANÍA;VISITA FAMILIARES / AMIGOS;287;9,4;118,5;1.109,0;318.423
ASIA Y OCEANÍA;OTROS MOTIVOS;92;64,4;34,7;2.238,8;204.919
ASIA Y OCEANÍA;NEGOCIOS;2.817;30,9;44,8;1.382,5;3.894.858
ASIA Y OCEANÍA;VACACIONES;11.323;10,3;88,4;913,0;10.337.665
ASIA Y OCEANÍA;VISITA FAMILIARES / AMIGOS;578;31,4;22,9;720,1;416.569
ASIA Y OCEANÍA;OTROS MOTIVOS;646;31,5;8,0;251,3;162.417
ASIA Y OCEANÍA;NEGOCIOS;3.048;17,0;82,1;1.394,8;4.252.065
ASIA Y OCEANÍA;VACACIONES;13.173;13,7;52,8;722,9;9.522.677
ASIA Y OCEANÍA;VISITA FAMILIARES / AMIGOS;939;27,0;25,9;697,6;654.947
ASIA Y OCEANÍA;OTROS MOTIVOS;162;18,2;23,6;430,6;69.628
ASIA Y OCEANÍA;NEGOCIOS;507;12,7;145,8;1.855,4;940.830
ASIA Y OCEANÍA;VACACIONES;1.619.609;8,3;58,0;483,2;782.647.192
ASIA Y OCEANÍA;VISITA FAMILIARES / AMIGOS;339.468;19,0;19,7;373,7;126.869.089
ASIA Y OCEANÍA;OTROS MOTIVOS;114.894;9,1;43,4;395,6;45.450.862
ASIA Y OCEANÍA;NEGOCIOS;120.222;11,6;88,4;1.023,2;123.005.626
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
